iin	I(Iin)	I(V1)
3.339999999999978e-006	3.340000e-006	3.580101e-006
3.349999999999978e-006	3.350000e-006	3.590676e-006
3.359999999999978e-006	3.360000e-006	3.601251e-006
3.369999999999978e-006	3.370000e-006	3.611826e-006
3.379999999999978e-006	3.380000e-006	3.622400e-006
3.389999999999978e-006	3.390000e-006	3.632973e-006
3.399999999999978e-006	3.400000e-006	3.643547e-006
3.409999999999978e-006	3.410000e-006	3.654120e-006
3.419999999999977e-006	3.420000e-006	3.664692e-006
3.429999999999977e-006	3.430000e-006	3.675264e-006
3.439999999999977e-006	3.440000e-006	3.685836e-006
3.449999999999977e-006	3.450000e-006	3.696408e-006
3.459999999999977e-006	3.460000e-006	3.706979e-006
3.469999999999977e-006	3.470000e-006	3.717549e-006
3.479999999999977e-006	3.480000e-006	3.728120e-006
3.489999999999977e-006	3.490000e-006	3.738690e-006
3.499999999999977e-006	3.500000e-006	3.749259e-006
3.509999999999977e-006	3.510000e-006	3.759829e-006
3.519999999999977e-006	3.520000e-006	3.770397e-006
3.529999999999976e-006	3.530000e-006	3.780966e-006
3.539999999999976e-006	3.540000e-006	3.791534e-006
3.549999999999976e-006	3.550000e-006	3.802102e-006
3.559999999999976e-006	3.560000e-006	3.812669e-006
3.569999999999976e-006	3.570000e-006	3.823236e-006
3.579999999999976e-006	3.580000e-006	3.833803e-006
3.589999999999976e-006	3.590000e-006	3.844369e-006
3.599999999999976e-006	3.600000e-006	3.854935e-006
3.609999999999976e-006	3.610000e-006	3.865501e-006
3.619999999999976e-006	3.620000e-006	3.876066e-006
3.629999999999975e-006	3.630000e-006	3.886631e-006
3.639999999999975e-006	3.640000e-006	3.897196e-006
3.649999999999975e-006	3.650000e-006	3.907759e-006
3.659999999999975e-006	3.660000e-006	3.918324e-006
3.669999999999975e-006	3.670000e-006	3.928887e-006
3.679999999999975e-006	3.680000e-006	3.939450e-006
3.689999999999975e-006	3.690000e-006	3.950013e-006
3.699999999999975e-006	3.700000e-006	3.960575e-006
3.709999999999975e-006	3.710000e-006	3.971138e-006
3.719999999999975e-006	3.720000e-006	3.981699e-006
3.729999999999975e-006	3.730000e-006	3.992261e-006
3.739999999999974e-006	3.740000e-006	4.002822e-006
3.749999999999974e-006	3.750000e-006	4.013382e-006
3.759999999999974e-006	3.760000e-006	4.023943e-006
3.769999999999974e-006	3.770000e-006	4.034503e-006
3.779999999999974e-006	3.780000e-006	4.045062e-006
3.789999999999974e-006	3.790000e-006	4.055622e-006
3.799999999999974e-006	3.800000e-006	4.066181e-006
3.809999999999974e-006	3.810000e-006	4.076740e-006
3.819999999999974e-006	3.820000e-006	4.087298e-006
3.829999999999974e-006	3.830000e-006	4.097856e-006
3.839999999999973e-006	3.840000e-006	4.108414e-006
3.849999999999973e-006	3.850000e-006	4.118971e-006
3.859999999999973e-006	3.860000e-006	4.129528e-006
3.869999999999973e-006	3.870000e-006	4.140084e-006
3.879999999999973e-006	3.880000e-006	4.150641e-006
3.889999999999973e-006	3.890000e-006	4.161197e-006
3.899999999999973e-006	3.900000e-006	4.171753e-006
3.909999999999973e-006	3.910000e-006	4.182308e-006
3.919999999999973e-006	3.920000e-006	4.192863e-006
3.929999999999973e-006	3.930000e-006	4.203418e-006
3.939999999999972e-006	3.940000e-006	4.213972e-006
3.949999999999972e-006	3.950000e-006	4.224526e-006
3.959999999999972e-006	3.960000e-006	4.235079e-006
3.969999999999972e-006	3.970000e-006	4.245633e-006
3.979999999999972e-006	3.980000e-006	4.256186e-006
3.989999999999972e-006	3.990000e-006	4.266738e-006
3.999999999999972e-006	4.000000e-006	4.277291e-006
4.009999999999972e-006	4.010000e-006	4.287843e-006
4.019999999999972e-006	4.020000e-006	4.298395e-006
